ExCluster_ID	GeneID	Coordinate	Species	Membership_score
GF_000009.001	ENSG00000161082	chr19:3286224-3286327:+	hg38	0.030
GF_000009.001	ENSG00000161082	chr19:3290231-3290374:+	hg38	0.150
GF_000009.001	ENSG00000161082	chr19:3293319-3293443:+	hg38	0.390
GF_000009.001	FBgn0000114	chr2L:12310682-12310947:+	dm6	0.060
GF_000009.001	FBgn0262475	chr2L:12396293-12396561:+	dm6	0.090
GF_000009.001	FBgn0264001	chr3L:13538747-13538871:-	dm6	0.570
GF_000009.001	FBgn0264001	chr3L:13538943-13539101:-	dm6	0.300
GF_000009.001	WBGene00001340	chrII:169552-169676:+	ce11	0.330
GF_000009.001	WBGene00006807	chrI:11600255-11600404:+	ce11	0.140
GF_000009.001	WBGene00006807	chrI:11601196-11601320:+	ce11	0.490
GF_000009.002	AT1G03457	chr1:862314-862393:-	araTha10	0.630
GF_000009.002	AT2G47310	chr2:19425521-19425600:+	araTha10	0.220
GF_000009.002	AT4G03110	chr4:1377775-1377854:-	araTha10	0.700
GF_000009.002	AT4G16280	chr4:9210438-9210517:-	araTha10	0.260
GF_000009.002	ENSG00000048740	chr10:11266598-11266677:+	hg38	0.560
GF_000009.002	ENSG00000101489	chr18:37274805-37274884:-	hg38	0.560
GF_000009.002	ENSG00000149187	chr11:47483453-47483532:-	hg38	0.560
GF_000009.002	ENSG00000159409	chr1:151708998-151709077:-	hg38	0.560
GF_000009.002	ENSG00000161082	chr19:3278031-3278110:+	hg38	0.560
GF_000009.002	FBgn0264001	chr3L:13584192-13584271:-	dm6	0.700
GF_000009.002	WBGene00001340	chrII:166071-166150:+	ce11	0.670
GF_000009.003	AT1G03457	chr1:862488-862613:-	araTha10	0.710
GF_000009.003	AT4G03110	chr4:1377946-1378071:-	araTha10	0.680
GF_000009.003	AT4G16280	chr4:9211032-9211099:-	araTha10	0.030
GF_000009.003	ENSG00000048740	chr10:11257738-11257872:+	hg38	0.440
GF_000009.003	ENSG00000101489	chr18:37275115-37275243:-	hg38	0.440
GF_000009.003	ENSG00000149187	chr11:47484389-47484520:-	hg38	0.440
GF_000009.003	ENSG00000159409	chr1:151709220-151709348:-	hg38	0.520
GF_000009.003	ENSG00000161082	chr19:3275856-3275984:+	hg38	0.440
GF_000009.003	FBgn0000114	chr2L:12298568-12298749:+	dm6	0.060
GF_000009.003	FBgn0262475	chr2L:12385562-12385740:+	dm6	0.060
GF_000009.003	FBgn0264001	chr3L:13602342-13602476:-	dm6	0.710
GF_000009.003	WBGene00001340	chrII:164701-164826:+	ce11	0.690
GF_000009.004	AT1G03457	chr1:862753-862804:-	araTha10	0.730
GF_000009.004	AT2G47310	chr2:19424674-19424725:+	araTha10	0.300
GF_000009.004	AT4G03110	chr4:1378159-1378210:-	araTha10	0.730
GF_000009.004	AT4G16280	chr4:9210285-9210349:-	araTha10	0.030
GF_000009.004	AT4G16280	chr4:9211297-9211348:-	araTha10	0.330
GF_000009.004	AT4G16280	chr4:9214079-9214187:-	araTha10	0.030
GF_000009.004	ENSG00000048740	chr10:11228388-11228414:+	hg38	0.150
GF_000009.004	ENSG00000048740	chr10:11249153-11249201:+	hg38	0.480
GF_000009.004	ENSG00000101489	chr18:37321833-37321881:-	hg38	0.360
GF_000009.004	ENSG00000149187	chr11:47486750-47486798:-	hg38	0.480
GF_000009.004	ENSG00000159409	chr1:151709743-151709791:-	hg38	0.550
GF_000009.004	ENSG00000161082	chr19:3273872-3273923:+	hg38	0.520
GF_000009.004	FBgn0000114	chr2L:12282514-12282562:+	dm6	0.460
GF_000009.004	FBgn0262475	chr2L:12362601-12362649:+	dm6	0.540
GF_000009.004	FBgn0264001	chr3L:13638517-13638565:-	dm6	0.230
GF_000009.004	WBGene00001340	chrII:164595-164643:+	ce11	0.210
GF_000009.005	AT1G03457	chr1:863459-863541:-	araTha10	0.610
GF_000009.005	AT2G47310	chr2:19424503-19424585:+	araTha10	0.300
GF_000009.005	AT4G03110	chr4:1378846-1378928:-	araTha10	0.670
GF_000009.005	AT4G16280	chr4:9211429-9211511:-	araTha10	0.330
GF_000009.005	AT4G16280	chr4:9213328-9213527:-	araTha10	0.090
GF_000009.005	ENSG00000048740	chr10:11217425-11217507:+	hg38	0.450
GF_000009.005	ENSG00000101489	chr18:37485525-37485607:-	hg38	0.450
GF_000009.005	ENSG00000149187	chr11:47487159-47487241:-	hg38	0.550
GF_000009.005	ENSG00000159409	chr1:151714594-151714676:-	hg38	0.700
GF_000009.005	ENSG00000161082	chr19:3250985-3251067:+	hg38	0.420
GF_000009.005	FBgn0000114	chr2L:12278837-12278919:+	dm6	0.600
GF_000009.005	FBgn0262475	chr2L:12359601-12359683:+	dm6	0.540
GF_000009.005	FBgn0262475	chr2L:12393422-12393612:+	dm6	0.030
GF_000009.005	FBgn0264001	chr3L:13777913-13777957:-	dm6	0.140
GF_000009.005	WBGene00006807	chrI:11594210-11594304:+	ce11	0.220
GF_000009.006	AT1G03457	chr1:863860-864019:-	araTha10	0.410
GF_000009.006	AT2G47310	chr2:19424352-19424430:+	araTha10	0.030
GF_000009.006	AT4G03110	chr4:1379098-1379275:-	araTha10	0.410
GF_000009.006	AT4G16280	chr4:9213587-9213665:-	araTha10	0.070
GF_000009.006	ENSG00000048740	chr10:11165505-11165682:+	hg38	0.190
GF_000009.006	ENSG00000101489	chr18:37565356-37565641:-	hg38	0.330
GF_000009.006	ENSG00000149187	chr11:47488837-47489014:-	hg38	0.220
GF_000009.006	ENSG00000159409	chr1:151715876-151716020:-	hg38	0.220
GF_000009.006	ENSG00000161082	chr19:3224740-3224998:+	hg38	0.260
GF_000009.006	FBgn0000114	chr2L:12271601-12272084:+	dm6	0.120
GF_000009.006	FBgn0262475	chr2L:12358041-12358261:+	dm6	0.150
GF_000009.006	WBGene00006807	chrI:11593927-11594020:+	ce11	0.090
GF_000009.007	AT4G03110	chr4:1377077-1377407:-	araTha10	0.200
GF_000009.007	WBGene00006807	chrI:11598128-11598512:+	ce11	0.200
GF_000009.008	ENSG00000048740	chr10:11314139-11314258:+	hg38	0.060
GF_000009.008	ENSG00000048740	chr10:11321207-11321386:+	hg38	0.120
GF_000009.008	FBgn0000114	chr2L:12304446-12304595:+	dm6	0.110
GF_000009.008	WBGene00001340	chrII:168793-169023:+	ce11	0.050
GF_000009.009	AT1G03457	chr1:862042-862212:-	araTha10	0.100
GF_000009.009	AT4G03110	chr4:1377508-1377687:-	araTha10	0.140
GF_000009.009	AT4G16280	chr4:9209768-9209930:-	araTha10	0.030
GF_000009.009	ENSG00000048740	chr10:11270666-11270824:+	hg38	0.040
GF_000009.009	ENSG00000101489	chr18:37274311-37274454:-	hg38	0.170
GF_000009.009	ENSG00000149187	chr11:47482695-47482856:-	hg38	0.040
GF_000009.009	ENSG00000159409	chr1:151707792-151707935:-	hg38	0.300
GF_000009.009	ENSG00000161082	chr19:3271041-3271106:+	hg38	0.040
GF_000009.009	ENSG00000161082	chr19:3281199-3281345:+	hg38	0.130
GF_000009.009	FBgn0264001	chr3L:13542075-13542218:-	dm6	0.240
GF_000009.009	WBGene00001340	chrII:166753-166905:+	ce11	0.150
GF_000009.010	ENSG00000048740	chr10:11320857-11320898:+	hg38	0.070
GF_000009.010	FBgn0000114	chr2L:12300361-12300396:+	dm6	0.070
GF_000009.011	ENSG00000101489	chr18:37266533-37266598:-	hg38	0.240
GF_000009.011	ENSG00000159409	chr1:151706669-151706734:-	hg38	0.060
GF_000009.011	ENSG00000161082	chr19:3284902-3284964:+	hg38	0.060
GF_000009.011	FBgn0264001	chr3L:13541489-13541608:-	dm6	0.290
GF_000009.011	WBGene00006807	chrI:11598874-11598951:+	ce11	0.100
GF_000009.012	ENSG00000101489	chr18:37264674-37264754:-	hg38	0.060
GF_000009.012	ENSG00000161082	chr19:3285942-3286025:+	hg38	0.240
GF_000009.012	FBgn0262475	chr2L:12395900-12396040:+	dm6	0.060
GF_000009.012	FBgn0264001	chr3L:13540564-13540641:-	dm6	0.240
GF_000009.013	ENSG00000101489	chr18:37270768-37270917:-	hg38	0.070
GF_000009.013	WBGene00001340	chrII:168549-168689:+	ce11	0.070
GF_000009.014	ENSG00000159409	chr1:151707507-151707648:-	hg38	0.240
GF_000009.014	FBgn0264001	chr3L:13541722-13541998:-	dm6	0.180
GF_000009.014	WBGene00001340	chrII:166961-167078:+	ce11	0.060
GF_000009.015	ENSG00000159409	chr1:151716755-151716798:-	hg38	0.070
GF_000009.015	WBGene00006807	chrI:11592302-11592406:+	ce11	0.070
GF_000009.016	AT4G16280	chr4:9213753-9213823:-	araTha10	0.070
GF_000009.016	FBgn0264001	chr3L:13608809-13608846:-	dm6	0.070
GF_000009.017	FBgn0000114	chr2L:12299188-12299394:+	dm6	0.070
GF_000009.017	WBGene00001340	chrII:168175-168393:+	ce11	0.070
GF_000010.001	AT5G44280	chr5:17836118-17836147:-	araTha10	0.600
GF_000010.001	FBgn0003330	chr3R:27680554-27680595:-	dm6	0.600
GF_000010.002	AT1G03770	chr1:946894-947001:+	araTha10	0.200
GF_000010.002	ENSG00000121481	chr1:185100200-185100298:+	hg38	0.200
GF_000010.003	AT5G44280	chr5:17836829-17837380:-	araTha10	0.200
GF_000010.003	FBgn0003330	chr3R:27680653-27681915:-	dm6	0.200
GF_000011.001	AT1G04170	chr1:1097423-1097531:+	araTha10	0.110
GF_000011.001	AT2G18720	chr2:8116636-8116759:-	araTha10	0.110
GF_000011.001	AT4G18330	chr4:10126747-10126873:+	araTha10	0.110
GF_000011.001	ENSG00000130741	chrX:24055615-24055678:+	hg38	0.230
GF_000011.002	ENSG00000130741	chrX:24054969-24055037:+	hg38	0.540
GF_000011.002	FBgn0263740	chr3R:15262797-15262838:-	dm6	0.110
GF_000011.002	FBgn0263740	chr3R:15263282-15263347:-	dm6	0.330
GF_000011.002	FBgn0263755	chr3R:15263282-15263347:-	dm6	0.330
GF_000011.003	ENSG00000130741	chrX:24076722-24076782:+	hg38	0.110
GF_000011.003	FBgn0263740	chr3R:15258370-15258442:-	dm6	0.110
GF_000011.004	ENSG00000180574	chr12:10505903-10507210:+	hg38	0.110
GF_000011.004	WBGene00021466	chrI:2314996-2315604:+	ce11	0.110
GF_000011.005	ENSG00000180574	chr12:10522603-10522692:+	hg38	0.330
GF_000011.005	WBGene00021466	chrI:2315656-2315757:+	ce11	0.330
GF_000012.001	ENSG00000187555	chr16:8894001-8894104:-	hg38	0.500
GF_000012.001	WBGene00010406	chrV:11118074-11118150:+	ce11	0.500
GF_000012.002	ENSG00000187555	chr16:8895045-8895150:-	hg38	0.170
GF_000012.002	WBGene00010406	chrV:11117602-11117844:+	ce11	0.170
GF_000012.003	ENSG00000187555	chr16:8895642-8895741:-	hg38	0.500
GF_000012.003	WBGene00010406	chrV:11117431-11117536:+	ce11	0.500
GF_000012.004	AT3G11910	chr3:3766008-3766127:-	araTha10	0.170
GF_000012.004	AT5G06600	chr5:2023610-2023729:-	araTha10	0.170
GF_000012.004	ENSG00000187555	chr16:8903268-8903402:-	hg38	0.250
GF_000012.005	ENSG00000187555	chr16:8921157-8921295:-	hg38	0.170
GF_000012.005	WBGene00004167	chrII:12218710-12218848:-	ce11	0.170
GF_000013.001	AT1G09330	chr1:3014044-3014103:-	araTha10	0.440
GF_000013.001	ENSG00000166676	chr16:10773313-10773441:-	hg38	0.140
GF_000013.001	ENSG00000175106	chr17:15545785-15545916:-	hg38	0.430
GF_000013.002	ENSG00000166676	chr16:10770275-10770331:-	hg38	0.140
GF_000013.002	ENSG00000171928	chr17:18805541-18805564:+	hg38	0.140
GF_000013.002	ENSG00000175106	chr17:15538130-15538153:-	hg38	0.140
GF_000013.002	WBGene00016400	chrIV:7150404-7150460:+	ce11	0.270
GF_000013.003	ENSG00000166676	chr16:10771670-10771798:-	hg38	0.140
GF_000013.003	ENSG00000171928	chr17:18804138-18804263:+	hg38	0.140
GF_000013.003	ENSG00000175106	chr17:15540415-15540561:-	hg38	0.140
GF_000013.003	WBGene00016400	chrIV:7150223-7150351:+	ce11	0.270
GF_000013.004	ENSG00000166676	chr16:10818103-10818182:-	hg38	0.110
GF_000013.004	ENSG00000171928	chr17:18789353-18789435:+	hg38	0.220
GF_000013.004	ENSG00000175106	chr17:15555282-15555364:-	hg38	0.220
GF_000013.004	FBgn0035944	chr3L:8967128-8967210:+	dm6	0.310
GF_000013.004	WBGene00016400	chrIV:7149508-7149593:+	ce11	0.230
GF_000013.005	ENSG00000166676	chr16:10818485-10818493:-	hg38	0.140
GF_000013.005	FBgn0035944	chr3L:8966969-8966983:+	dm6	0.140
GF_000013.006	ENSG00000171928	chr17:18790896-18790959:+	hg38	0.220
GF_000013.006	FBgn0035944	chr3L:8967282-8967516:+	dm6	0.110
GF_000013.006	WBGene00016400	chrIV:7149693-7149801:+	ce11	0.110
GF_000013.007	ENSG00000171928	chr17:18798812-18798943:+	hg38	0.140
GF_000013.007	FBgn0035944	chr3L:8967566-8967892:+	dm6	0.140
GF_000015.001	ENSG00000108829	chr17:50394929-50394988:-	hg38	1.000
GF_000015.001	FBgn0036008	chr3L:9508565-9508624:-	dm6	1.000
GF_000015.002	ENSG00000108829	chr17:50397213-50397317:-	hg38	1.000
GF_000015.002	FBgn0036008	chr3L:9509339-9509452:-	dm6	1.000
GF_000016.001	FBgn0030357	chrX:11921783-11921931:-	dm6	1.000
GF_000016.001	WBGene00010675	chrIV:12585226-12585359:-	ce11	1.000
GF_000016.002	FBgn0030357	chrX:11921998-11922165:-	dm6	1.000
GF_000016.002	WBGene00010675	chrIV:12585402-12585569:-	ce11	1.000
GF_000016.003	FBgn0030357	chrX:11922230-11922373:-	dm6	0.330
GF_000016.003	WBGene00010675	chrIV:12585728-12585801:-	ce11	0.330
GF_000016.004	FBgn0030357	chrX:11922588-11922651:-	dm6	0.330
GF_000016.004	WBGene00010675	chrIV:12585985-12586066:-	ce11	0.330
GF_000017.001	AT1G15240	chr1:5246929-5246997:+	araTha10	0.100
GF_000017.001	ENSG00000168297	chr3:58409532-58409618:+	hg38	0.100
GF_000017.002	AT1G15240	chr1:5248302-5248495:+	araTha10	0.100
GF_000017.002	ENSG00000071189	chr7:17794048-17794292:-	hg38	0.100
GF_000017.003	ENSG00000071189	chr7:17796822-17796939:-	hg38	0.100
GF_000017.003	WBGene00013803	chrIV:17080064-17080217:-	ce11	0.100
GF_000017.004	ENSG00000071189	chr7:17890363-17890484:-	hg38	0.100
GF_000017.004	WBGene00013803	chrIV:17086805-17086926:-	ce11	0.100
GF_000017.005	ENSG00000104497	chr8:81802380-81802499:-	hg38	0.100
GF_000017.005	ENSG00000104497	chr8:81802940-81803003:-	hg38	0.100
GF_000017.005	FBgn0034265	chr2R:17725385-17725442:-	dm6	0.170
GF_000017.006	ENSG00000104497	chr8:81803092-81803228:-	hg38	0.100
GF_000017.006	ENSG00000109762	chr4:185332595-185332713:+	hg38	0.100
GF_000017.006	FBgn0034265	chr2R:17725502-17725638:-	dm6	0.170
GF_000017.007	ENSG00000104497	chr8:81823792-81823940:-	hg38	0.100
GF_000017.007	ENSG00000168297	chr3:58382514-58382678:+	hg38	0.100
GF_000017.007	WBGene00013803	chrIV:17081409-17081759:-	ce11	0.170
GF_000017.008	ENSG00000109762	chr4:185264438-185264610:+	hg38	0.100
GF_000017.008	FBgn0029976	chrX:7914263-7914435:+	dm6	0.100
GF_000017.009	ENSG00000109762	chr4:185310652-185310816:+	hg38	0.100
GF_000017.009	FBgn0029976	chrX:7914492-7914898:+	dm6	0.100
GF_000017.010	AT1G15240	chr1:5247765-5247900:+	araTha10	0.100
GF_000017.010	ENSG00000168297	chr3:58394998-58395102:+	hg38	0.100
GF_000017.011	ENSG00000109762	chr4:185288012-185288082:+	hg38	0.100
GF_000017.011	WBGene00004348	chrIII:5698691-5698742:+	ce11	0.100
GF_000017.012	ENSG00000168297	chr3:58397605-58397722:+	hg38	0.100
GF_000017.012	WBGene00013803	chrIV:17079851-17080009:-	ce11	0.100
GF_000018.001	AT1G17370	chr1:5951845-5952114:-	araTha10	0.360
GF_000018.001	AT1G54080	chr1:20183926-20184189:-	araTha10	0.360
GF_000018.001	AT3G14100	chr3:4675669-4675947:+	araTha10	0.360
GF_000018.001	WBGene00007396	chrX:10171178-10171321:+	ce11	0.210
GF_000018.001	WBGene00012904	chrII:12772905-12773219:+	ce11	0.500
GF_000018.001	WBGene00015943	chrII:5712843-5713124:-	ce11	0.360
GF_000018.002	AT1G17370	chr1:5953035-5953110:-	araTha10	0.750
GF_000018.002	AT1G54080	chr1:20185313-20185388:-	araTha10	0.750
GF_000018.002	AT3G14100	chr3:4674458-4674533:+	araTha10	0.750
GF_000018.002	ENSG00000116001	chr2:70224554-70224629:-	hg38	0.900
GF_000018.002	FBgn0085383	chr3R:28226733-28226808:+	dm6	0.830
GF_000018.002	FBgn0085391	chr3R:28078161-28078236:+	dm6	0.830
GF_000018.002	WBGene00007396	chrX:10169394-10169469:+	ce11	0.900
GF_000018.003	AT1G17370	chr1:5953203-5953290:-	araTha10	0.310
GF_000018.003	AT1G54080	chr1:20185574-20185661:-	araTha10	0.310
GF_000018.003	AT3G14100	chr3:4674273-4674360:+	araTha10	0.310
GF_000018.003	ENSG00000116001	chr2:70227735-70227822:-	hg38	0.600
GF_000018.003	FBgn0085383	chr3R:28202168-28202255:+	dm6	0.060
GF_000018.003	FBgn0085391	chr3R:28075677-28075764:+	dm6	0.220
GF_000018.003	WBGene00007396	chrX:10168979-10169066:+	ce11	0.200
GF_000018.004	AT1G17370	chr1:5953740-5953842:-	araTha10	0.210
GF_000018.004	AT1G54080	chr1:20186085-20186187:-	araTha10	0.210
GF_000018.004	AT3G14100	chr3:4673674-4673776:+	araTha10	0.210
GF_000018.004	ENSG00000116001	chr2:70236079-70236175:-	hg38	0.280
GF_000018.004	WBGene00012904	chrII:12768928-12769024:+	ce11	0.250
GF_000018.004	WBGene00015943	chrII:5714494-5714590:-	ce11	0.250
GF_000018.005	ENSG00000116001	chr2:70212722-70212845:-	hg38	0.100
GF_000018.005	FBgn0085383	chr3R:28237507-28237675:+	dm6	0.100
GF_000018.006	ENSG00000116001	chr2:70216208-70216284:-	hg38	0.170
GF_000018.006	FBgn0085383	chr3R:28235261-28235453:+	dm6	0.100
GF_000018.006	FBgn0085391	chr3R:28082901-28083090:+	dm6	0.100
GF_000018.007	AT1G17370	chr1:5952679-5952798:-	araTha10	0.060
GF_000018.007	AT1G54080	chr1:20184778-20184897:-	araTha10	0.060
GF_000018.007	AT3G14100	chr3:4674901-4675020:+	araTha10	0.060
GF_000018.007	ENSG00000116001	chr2:70216827-70216994:-	hg38	0.500
GF_000018.007	FBgn0085383	chr3R:28235075-28235177:+	dm6	0.170
GF_000018.007	FBgn0085391	chr3R:28078536-28078632:+	dm6	0.170
GF_000018.007	WBGene00007396	chrX:10169548-10169667:+	ce11	0.050
GF_000018.008	ENSG00000116001	chr2:70230756-70230854:-	hg38	0.330
GF_000018.008	WBGene00012904	chrII:12769072-12769167:+	ce11	0.300
GF_000018.008	WBGene00015943	chrII:5714062-5714157:-	ce11	0.100
GF_000019.001	AT1G17640	chr1:6067397-6067822:-	araTha10	0.170
GF_000019.001	AT3G13224	chr3:4256082-4256618:+	araTha10	0.170
GF_000019.001	AT5G40490	chr5:16226752-16227420:+	araTha10	0.170
GF_000019.001	FBgn0004838	chr2L:6924685-6925452:+	dm6	0.300
GF_000019.002	AT1G17640	chr1:6068355-6068518:-	araTha10	0.170
GF_000019.002	AT3G13224	chr3:4255221-4255384:+	araTha10	0.500
GF_000019.002	AT5G40490	chr5:16226051-16226214:+	araTha10	0.500
GF_000019.002	ENSG00000071626	chr19:1418204-1418370:+	hg38	0.700
GF_000019.003	AT3G13224	chr3:4254848-4254903:+	araTha10	0.170
GF_000019.003	ENSG00000071626	chr19:1407774-1407802:+	hg38	0.170
GF_000019.004	AT1G17640	chr1:6068730-6068770:-	araTha10	0.170
GF_000019.004	AT3G13224	chr3:4255045-4255085:+	araTha10	0.170
GF_000019.004	AT5G40490	chr5:16225907-16225947:+	araTha10	0.170
GF_000019.004	ENSG00000071626	chr19:1417500-1417540:+	hg38	0.300
GF_000021.001	AT1G18260	chr1:6279050-6279286:-	araTha10	0.290
GF_000021.001	ENSG00000071537	chr14:81476975-81477181:-	hg38	0.290
